workerId,trialNum,filename,fileType,choices,isRight,expTimer,rt
subjCode,1,gb_cook.wav,audio,"grab,throw,think,move,stay,see,hear,smell,have",false,27.874,26708
subjCode,2,ill_water.wav,audio,"grab,throw,think,move,stay,see,hear,smell,have",false,32.345,4457
subjCode,1,gb_cook.wav,audio,"grab,throw,think,move,stay,see,hear,smell,have",false,3.388,2665
subjCode,1,gb_cook.wav,audio,"grab,throw,think,move,stay,see,hear,smell,have",false,4.316,3061
subjCode,1,gb_cook.wav,audio,"grab,throw,think,move,stay,see,hear,smell,have",false,4.436,move,3755
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,4.889,move,3548
subjCode,2,ill_water.wav,audio,think,"grab,throw,think,move,stay,see,hear,smell,have",false,10.518,stay,5618
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,8.075,move,7499
subjCode,2,ill_water.wav,audio,think,"grab,throw,think,move,stay,see,hear,smell,have",false,14.596,move,6508
subjCode,3,sampleVideo1.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,20.8,think,6188
subjCode,4,sampleVideo2.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,27.603,stay,6777
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,3.651,move,2763
subjCode,2,ill_water.wav,audio,think,"grab,throw,think,move,stay,see,hear,smell,have",false,5.591,move,1928
subjCode,3,sampleVideo1.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,26.954,move,21349
subjCode,4,sampleVideo2.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,30.069,stay,3096
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,6.565,think,5918
subjCode,2,301_2_bear_voc.wav.m4a,audio,think,"grab,throw,think,move,stay,see,hear,smell,have",false,10.895,think,4313
subjCode,3,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,17.389,think,6481
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,4.906,smell,3754
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,13.311,stay,12331
subjCode,2,301_2_bear_voc.wav.m4a,audio,think,"grab,throw,think,move,stay,see,hear,smell,have",false,14.865,stay,1537
subjCode,3,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,16.656,stay,1768
subjCode,4,sampleVideo2.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,18.202,stay,1525
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,3.093,move,2073
subjCode,2,301_2_bear_voc.wav.m4a,audio,think,"grab,throw,think,move,stay,see,hear,smell,have",false,5.689,move,2563
subjCode,3,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,7.793,move,2067
subjCode,4,sampleVideo2.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,9.509,move,1674
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,3.475,stay,2678
subjCode,2,301_2_bear_voc.wav.m4a,audio,think,"grab,throw,think,move,stay,see,hear,smell,have",false,6.725,stay,3234
subjCode,3,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,14.008,stay,7254
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,2.932,see,2183
subjCode,2,301_2_bear_voc.wav.m4a,audio,think,"grab,throw,think,move,stay,see,hear,smell,have",false,5.436,see,2487
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,4.387,see,3280
subjCode,2,301_2_bear_voc.wav.m4a,audio,think,"grab,throw,think,move,stay,see,hear,smell,have",false,6.712,see,2309
subjCode,3,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,58.128,move,51387
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,4.129,move,3195
subjCode,2,301_2_bear_voc.wav.m4a,audio,think,"grab,throw,think,move,stay,see,hear,smell,have",false,6.565,move,2421
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,47.973,think,3464
subjCode,2,301_2_bear_voc.wav.m4a,audio,think,"grab,throw,think,move,stay,see,hear,smell,have",false,49.868,think,1881
subjCode,3,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,74.164,see,24276
subjCode,1,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,6.844,stay,5921
subjCode,1,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,75.632,stay,74855
subjCode,1,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,7.836,move,3887
subjCode,2,sampleVideo2.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,12.416,move,4558
subjCode,1,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,4.913,stay,4280
subjCode,1,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,8.194,see,7568
subjCode,1,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,6.069,stay,5310,-1
subjCode,2,sampleVideo2.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,11.585,stay,5494,-1
subjCode,1,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,10.448,stay,9528,3
subjCode,2,sampleVideo2.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,158.45,stay,147981,9
subjCode,3,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,165.101,stay,6619,1
subjCode,1,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,5.936,move,5031,-1,1
subjCode,1,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,4.189,stay,3520,1
subjCode,2,sampleVideo2.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,118.529,stay,114299,0
subjCode,1,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,20.211,stay,19745,3
subjCode,2,sampleVideo2.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,27.636,stay,7386,1
subjCode,1,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,9.032,stay,8521,0
subjCode,2,sampleVideo2.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,12.379,stay,3334,0
subjCode,1,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,5.925,stay,5349,1
subjCode,2,sampleVideo2.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,14.099,stay,8157,1
subjCode,1,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,3.389,stay,2368,0
subjCode,2,sampleVideo2.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,5.039,stay,1619,0
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,22.043,see,21396,3
subjCode,2,301_2_bear_voc.wav.m4a,audio,think,"grab,throw,think,move,stay,see,hear,smell,have",false,24.336,see,2228,0
subjCode,1,gb_cook.wav,audio,throw,"grab,throw,think,move,stay,see,hear,smell,have",false,11.474,stay,10780,2
subjCode,2,301_2_bear_voc.wav.m4a,audio,think,"grab,throw,think,move,stay,see,hear,smell,have",false,17.416,stay,5922,1
subjCode,3,301_1_big_gest.mp4,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,147.587,stay,130140,3
subjCode,4,sampleVideo2.mov,video,stay,"grab,throw,think,move,stay,see,hear,smell,have",false,214.889,stay,67272,4
